node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	27
259	22
260	95
261	480
262	67
263	153
264	35
265	19
266	17
267	116
268	167
269	32
270	16
271	24
272	12
273	14
274	23
275	14
276	114
277	44
278	102
279	22
280	11
281	15
282	30
283	111
284	17
285	14
286	25
287	12
288	11
289	24
290	150
291	135
292	37
293	16
294	13
295	118
296	10
297	41
298	38
299	52
300	29
301	12
302	21
303	42
304	12
305	79
306	13
307	140
308	40
309	101
310	297
311	40
312	16
313	21
314	21
315	25
316	29
317	45
318	25
319	13
320	14
321	10
322	39
323	117
324	61
325	22
326	12
327	23
328	76
329	34
330	14
331	28
332	14
333	81
334	85
335	169
336	49
337	21
338	146
339	77
340	22
341	137
342	175
343	46
344	217
345	33
346	44
347	48
348	173
349	101
350	247
351	24
352	24
353	172
354	46
355	102
356	136
357	58
358	63
359	88
360	139
361	56
362	31
363	95
364	283
365	265
366	441
367	175
368	941
369	288
370	63
371	96
372	93
373	71
374	97
375	90
376	85
377	97
378	85
379	85
380	99
381	96
382	620
383	91
384	927
385	129
386	95
387	91
388	99
389	156
390	1183
391	2340
