node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	103
362	25
363	31
364	22
365	25
366	43
367	65
368	92
369	34
370	36
371	30
372	47
373	28
374	24
375	59
376	31
377	44
378	27
379	25
380	27
381	36
382	36
383	119
384	23
385	30
386	80
387	86
388	36
389	99
390	22
391	31
392	54
393	29
394	36
395	24
396	32
397	53
398	73
399	30
400	34
401	49
402	62
403	89
404	43
405	29
406	40
407	66
408	21
409	30
410	20
411	21
412	21
413	23
414	23
415	23
416	25
417	20
418	22
419	20
420	20
421	33
422	34
423	29
424	31
425	23
426	20
427	140
428	29
429	55
430	25
431	23
432	40
433	33
434	59
435	24
436	24
437	60
438	60
439	60
440	48
441	22
442	42
443	30
444	69
445	54
446	28
447	20
448	40
449	22
450	28
451	20
452	34
453	59
454	82
455	31
456	85
457	60
458	61
459	33
460	75
461	84
462	47
463	60
464	47
465	47
466	31
467	47
468	27
469	65
470	37
471	27
472	60
473	32
474	45
475	20
476	25
477	37
478	34
479	48
480	50
481	58
482	39
483	49
484	58
485	32
486	78
487	73
488	33
489	25
490	110
491	202
492	76
493	106
494	44
495	34
496	96
497	189
498	143
499	32
500	219
501	97
502	75
503	78
504	114
505	63
506	44
507	31
508	30
509	25
510	27
511	247
512	37
513	138
514	79
515	46
516	61
517	47
518	41
519	96
520	207
521	31
522	60
523	27
524	54
525	75
526	49
527	82
528	66
529	36
530	263
531	40
532	204
533	73
534	78
535	98
536	105
537	293
538	297
539	117
540	100
541	52
542	324
543	150
544	160
545	50
546	73
547	40
548	41
549	253
550	79
551	80
552	54
553	120
554	190
555	52
556	99
557	87
558	424
559	53
560	365
561	460
562	292
563	145
564	78
565	302
566	233
567	102
568	53
569	1193
570	54
571	89
572	1315
573	469
574	406
575	1453
576	1152
577	1213
578	2737
